merchant_description;mcc;city;country;amount;date
CARS TAXI SERVICES CO LLC;4121;DUBAI;AE;17.26;2025-10-31
3OJ4XR6GXGWZ#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR;49.23;2026-02-15
HE GREEN & RED PUB COM;5813;LONDON  NW1;GB;81.86;2025-11-13
NOW C3C57 SKY CINE;5815;LONDON;GB;63.2;2026-01-14
TV NOVA 8317220207;4899;PRAHA 5;CZ;98.94;2025-12-29
NYX*COCACOLAHBCMAGYARO;5814;DUNAHARASZTI;HU;113.03;2026-02-13
REEF FOR PERFUMES;5977;DOHA;QA;120.55;2025-10-18
OCKOVACI CENTRUM;4119;BRECLAV;CZ;83.46;2026-01-02
PK AEROPUERTO ALICANTE;7523;ALTET, EL;ES;83.38;2026-03-07
RADEGASTOVNA PERON;5812;PRAHA;CZ;129.3;2025-10-26
WIENER L 20260126008143;4111;WIEN;AT;191.56;2025-11-21
85F0D ENTS;5815;DUBLIN 4;IE;18.43;2025-12-03
TOTAL NL004017 BELVAL OUT;5541;BELVAUX;LU;66.82;2026-02-18
MEWSSYSTEMS;7011;31851071333;NL;15.33;2025-11-08
LIME*COST CURSA FG7S;4789;MILAN;IT;141.86;2026-02-09
COSTA COFFEE 43011378;5814;CRAMLINGTON;GB;25.4;2025-10-26
CALL DOCTOR HOME;8099;DUBAI;AE;111.9;2026-01-20
FOODORA_AT_C6JU-2447-C;5499;WIEN;AT;144.67;2025-11-22
IPO IPO;5944;CHALKIDA;GR;14.85;2026-01-15
BANDCAMP UK BASS TUTOR;5815;BANDCAMP.CO;US;9.63;2025-11-27
GOPAY  *MEDOVINARNA.CZ;5921;PRAHA;CZ;34.34;2026-02-10
ES384553928;4829;MADRID;ES;105.41;2026-03-11
TCL 69 LYO;4111;V25254001183�;FR;64.91;2025-10-01
ABOUTYOU.DE;5651;HAMBURG;DE;171.76;2026-03-17
VOJTILA TRANS SRO;4131;PROSTEJOV;CZ;109.43;2026-03-19
KAUFLAND 8720, PD, NEDO;5411;PRIEVIDZA;SK;186.84;2025-12-06
SKY VIEW LLC;6513;DUBAI;AE;183.48;2026-01-07
GRUBHUBMCDONALDS;5812;8775851085;US;160.56;2025-09-25
O17534257716280504 APP BR;9311;TORINO;IT;78.11;2025-09-26
MOONEY SPA;4900;SANTO STEFANO;IT;26.04;2025-12-13
LIME*PAYOFF HMUS;4789;FRANKFURT;DE;125.31;2025-10-26
PROTV 9535939498;4899;BUCHAREST;RO;58.65;2026-03-15
FLYERALARM;7338;CH240060658 F;CH;93.87;2026-03-04
O17440045258934070 APP BR;9311;TORINO;IT;139.28;2026-01-06
AMAZON GROCERY;5411;DUBAI;AE;14.91;2025-10-14
ROULOTE DA PORTELA;5814;LISBOA;PT;55.3;2025-11-09
FOODORA_AT_HTYR-2537-Z;5499;WIEN;AT;50.61;2026-01-28
BIRD;5940;8662052442;CH;71.49;2025-11-01
LIME*KRSEL H4SR;4789;HELLERUP;DK;54.39;2025-11-09
WWW.AMAZON.* M64A82T45;5399;LUXEMBOURG;LU;39.85;2026-02-22
BRANDS FOR LESS TRADIN;5691;RIYADH;SA;184.7;2025-10-03
MEGAIMAGE 0637 BORH 8A;5411;CLUJ NAPOCA;RO;108.8;2025-11-12
ALNATURA PRODUKTIONS U;5411;FILDERSTADT;DE;41.09;2025-10-01
IKEA IRELAND LIMITED E;5712;DUBLIN;IE;29.91;2025-11-02
FOODORA_AT_RPEV-2505-N;5499;WIEN;AT;103.11;2026-01-25
METRO RJ;4111;RIO DE JANEIR;BR;9.72;2025-11-13
CRV*GATE RETAIL WIZZ E;5309;CURVE.COM;IE;115.12;2026-03-14
SAGOR ALIMENTACION;5411;BARCELONA;ES;196.27;2026-01-02
XSOLLA /TWITCH;5816;SHERMAN OAKS;US;142.53;2026-02-20
LIME*RIDE K6TK;7519;BULGARIA;BG;24.03;2025-12-31
PKS GDYNIA 02;4131;WEJHEROWO;PL;69.17;2026-01-15
O17618266529788708 APP BR;9311;TORINO;IT;149.45;2025-12-18
TRUFFLES BAKERY;5462;WEST SUSSEX B;GB;193.72;2025-10-15
GOPAY  $CEDCR.CZ;7375;CEDCR.CZ;CZ;28.49;2026-02-12
RESTAURANT GENUSSTER;5812;AGGSBACH MARK;AT;93.51;2026-01-05
JETSTAR AIRW0000000YQWSTK;3079;WWW.JETSTAR.C;AU;122.43;2026-03-13
PALDISKI KONSUM;5499;HARJUMAA, PAL;EE;70.98;2025-11-13
PAN ET GATO;5462;ANNECY LE VI;FR;169.93;2026-03-07
TFL TRAVEL CH;4111;TFL.GOV.UK/CP;GB;87.43;2025-12-05
EVENTIX B.V.;7922;3185225052;NL;126.86;2026-02-20
LANDESBETRIEB VERKEHR;9399;IKFZ000100091;DE;197.66;2025-10-05
BOOTS/0917,;5912;WEST THURRO;GB;5.25;2026-03-01
LIME*RIDE O4CL;4789;ATHENS;GR;25.23;2025-10-31
LIDL 727 OUDBEIJERLAND;5411;OUD-BEIJERLAN;NL;181.77;2025-09-26
WILLHABEN 1253710144;5331;VIENNA;AT;116.27;2026-02-05
FOODORA_AT_XEFN-2WY4;5499;WIEN;AT;96.96;2026-01-12
HAPPYTIGER;7995;ID:1854661967;DK;140.34;2026-01-01
MOONPAY*LEDGER 3765;6051;DUBILN;IE;57.61;2025-12-26
GOPAY  *BAZAROVEREGALY.CZ;5251;BRNO;CZ;169.47;2026-03-01
CFA SOC SW* CV DOCTORI;8699;41443824244;CH;31.12;2025-12-29
SG*MEMORYOS.COM;8299;LEWES;US;12.23;2025-11-05
APPLE STORE R454;5732;SICILY;IT;94.87;2025-09-28
HAPPYTIGER;7995;ID:2877063858;DK;39.41;2026-01-27
DEKAMARKT LOC46392;5411;AMSTERDAM;NL;40.7;2025-11-23
ERNSTING'S FAMILY 0001;5651;FRIEDBERG;DE;152.78;2025-10-10
PAYMENT SOLUTION & SERVIC;5812;STEFFISBURG;CH;178.67;2025-11-30
KOZAK KFT. SZEKHELY;5921;KECSKEMET;HU;28.84;2025-12-16
FOODORA_AT_Z3Z1-2527-K;5499;WIEN;AT;198.35;2026-03-13
MRCR*DAVID*ELIS;6051;VISA DIRECT;HR;146.13;2026-03-09
O17529055544027041 APP BR;9311;TORINO;IT;128.32;2026-03-17
ZOTTER SCHOKOLADE;5441;RIEGERSBURG;AT;76.33;2025-10-31
IC JICIN;5200;JICIN;CZ;189.92;2026-03-05
URBAMUSA;7523;MURCIA ESP;ES;151.82;2026-03-10
LIME*2 COURSES JDQK;4789;PARIS;FR;173.21;2026-03-21
DROGERIA MAR KOS;5977;PLOCK;PL;32.81;2025-11-23
TEDI FIL  6268;5651;DORTMUND;DE;72.73;2026-02-20
IPSWICH TOWN FOOTBALL;7941;IPSWICH;GB;85.6;2026-03-19
SPILNU;7995;ID:1940905313;DK;88.16;2025-11-29
AUTOMATA TO:LTO'A'LLOM;5542;SARVAR;HU;173.59;2025-10-03
SKULLTURE IBIZA;5947;SAN CARLOS;ES;199.02;2026-02-08
LAWSON;5499;TOKYO;JP;123.47;2026-02-01
WWW.AMAZON* 204-70608;5399;1  1401865794;GB;169.96;2025-12-03
ASDA SUPERSTORE;5411;MERTHYR TYDFI;GB;156.32;2025-11-25
PBZ8AROMAGLOBAL;5812;DUBROVNIK;HR;187.81;2025-11-30
LIME*3 COURSES WFR4;4789;SAN FRANCISCO;US;103.95;2025-10-05
AVM XOR8SEBF6IA1SLQ;4111;VENEZIA;IT;51.26;2026-02-10
FOODORA_AT_GWU7-2435-H;5499;WIEN;AT;149.56;2025-12-02
LIME*RIDE UMLC;7999;SAN FRANCISCO;US;140.1;2025-11-29
UBER   *TRIP;4121;AMSTERDAM;NL;183.75;2025-10-03
FOODORA_AT_OJHY-2510-ACGY;5499;WIEN;AT;68.77;2025-11-15
FACEBK* 3KAF7ZF722;7311;MENLO PARK;US;154.67;2026-01-14
ACS*23666122 THREE;4814;ROTTERDAM;NL;199.88;2025-12-23
LISEBERG LH SP;7996;GOTEBORG;SE;27.04;2026-01-04
MOL*ELBENWALD GMBH;5691;49355121010;DE;10.96;2025-10-25
MERCADONA  FRANCISCO A;5411;ALZIRA;ES;86.14;2025-12-22
FOODORA_AT_O2BI-2442-O;5499;WIEN;AT;47.22;2026-01-26
COVA MONTENAPOLEONE SRL;5499;MILANO MI;IT;6.58;2026-03-23
AIRBALTIC.COM;4511;V000015772;LV;69.76;2026-03-11
WOOCOMM 9091791;5734;HTTPSWOOCOMME;US;78.34;2025-09-30
9967150937;4899;BUCHAREST;RO;165.35;2026-02-19
SVETITS KATOLIKUS;5811;DEBRECEN;HU;148.62;2026-02-01
B M 518 - EDGELEY;5399;STOCKPORT;GB;27.9;2025-10-16
HOLMESPLACE MILLENNIUM;7298;WIEN;AT;196.74;2026-03-24
NOTEMACHINE;6011;MK9 1FG;GB;186.61;2026-03-12
CESKA POSTA  51401;9402;JILEMNICE;CZ;14.49;2026-03-12
LIME*PASS YIMN;4789;MILAN;IT;106.42;2025-10-24
LIME*5 FAHRTEN GEKB;4789;PARIS;FR;183.8;2025-11-23
GOPAY  *VITAMIN360.COM;5499;DUNAJSKA STRE;SK;163.45;2026-03-20
BIOPIAC MARKET SZOCIAL;5734;UJSOLT;HU;162.2;2025-12-28
LIME*RIDE LUDN;4789;PARIS;FR;126.7;2025-10-24
FOODORA_AT_MV84-XPV6;5499;WIEN;AT;87.55;2025-10-21
ALRABWA ALKHADRA;5422;AMMAN;JO;55.3;2026-03-17
AMAZON UK* Z72EA1NL4;5399;LONDON;GB;14.36;2026-02-26
O17491896377813462 APP BR;9311;TORINO;IT;126.55;2025-12-06
SWISS H.TEL LA COURONN;7011;AVENCHES;CH;85.86;2026-02-01
TV NOVA 9793557872;4899;PRAHA 5;CZ;172.0;2025-10-05
LIME*4 RIDES BDEG;4789;WALLISELLEN;CH;195.89;2025-10-02
SK SLOVAN BRATISLAVA,;5814;BRATISLAVA;SK;103.42;2025-10-12
3CKET* 1423451 MC IG N;7399;LISBOA;PT;58.7;2026-02-27
GOPAY *AMICI.CZ;5499;BRNO;CZ;195.05;2025-10-12
ERGO REISEVERSICHERUNG AG;6300;VSNR183935930;DE;59.69;2026-03-19
AGENDA BOOKSHOP;5942;VALLETTA      MLT;MT;62.53;2026-03-06
MCDONALDS 01161;5814;WOLGAST;DE;94.67;2026-01-15
O17634522164046369 APP BR;9311;TORINO;IT;44.2;2025-12-17
ACS*23590242 THREE;4814;PLEASEHELP.IO;NL;70.16;2025-11-27
PAYONEER.COM;7399;818240466;GB;118.01;2025-12-24
WESTERHOF KAASSPECIA;5411;DELDEN;NL;130.18;2025-11-06
TCL 69 LYO;4111;V25144003543�;FR;40.05;2025-11-12
BOLT.EUD2509121740;5812;TALLINN;EE;166.12;2026-03-03
GOPAY  *NEJOUTDOOR.CZ;5941;CHVALIKOVIC;CZ;100.08;2025-12-31
DAT GRAC;7523;AIX EN PROVEN;FR;147.14;2026-01-11
TCL 69 LYO;4111;V25154010147�;FR;185.18;2026-03-10
GINO FOOD & BEVERAGE;5812;BRATISLAVA;SK;172.33;2025-10-29
UBER *HAOLINCHEZA;5812;NEW TAIPEI;TW;11.59;2025-10-22
LIME*PASS ACDA;4789;WARSZAWA;PL;56.9;2025-10-20
BASTYA PRESSZO;5813;NYIREGYHAZA;HU;100.93;2026-02-06
FUNKY MONKEYS CLAREHAL;7999;DUBLIN 17;IE;146.73;2025-12-18
MINI JOKER;5499;CEGLED;HU;123.95;2025-10-06
ETSY.COM*MINUKOART;5699;DUBLIN 1;IE;198.1;2026-02-19
WM SUPERCENTER #3206;5411;LIMA;US;193.26;2026-03-07
HEROKU* MAY-95580267;5734;WWW.HEROKU.CO;US;75.28;2025-11-21
ASDA  ACCRINGTON;5411;ACCRINGTON;GB;125.5;2026-01-04
DANTAXI 4X48;4121;VIRUM;DK;100.95;2025-10-21
[02/04] TREKKINN;5941;CELRA;ES;123.98;2025-10-22
RESTAURANT LA VACHE NO;5812;CRANS-MONTANA;CH;168.78;2025-12-13
J D WETHERSPOON PLC;5812;WATFORD;GB;65.4;2025-12-27
RIGATOS_SUPERMARKET_;5411;LIKSOYRI;GR;5.02;2026-03-20
6080500723;4899;BUCHAREST;RO;170.52;2026-03-08
WWWROHLIKCZ;5411;PRAHA 8 KARLI;CZ;53.86;2026-03-04
LECHERTSHUBER;5411;BURGHAUSEN;DE;78.51;2025-11-12
FOODORA_AT_CWLD-NM6X;5499;WIEN;AT;180.54;2026-02-04
TV NOVA 0354799733;4899;PRAHA 5;CZ;107.24;2026-02-03
TCL 69 LYO;4111;V25349021353�;FR;173.49;2026-02-02
TUTTO BUONO;5814;MELLIEHA;MT;76.92;2026-03-09
365;5813;BARCELONA;ES;135.62;2026-03-23
BANDCAMPKAIQ;5815;4152132160;US;179.17;2026-03-07
MARIACASINO;7995;2481523045;MT;47.63;2026-01-29
TRANSAVIA   FIN22E;3007;PARAY VIEILLE;FR;128.09;2025-11-28
EUROPA PARK GMBH U CO;5812;RUST;DE;137.48;2026-02-07
CLEERES BAR & THEATRE;7922;KILKENNY;IE;173.12;2026-03-23
SKYSHOWTIME D0012 STANDAR;4899;AMSTERDAM;NL;114.02;2026-01-12
BOULANGERIE AMIS;5462;TALENCE;FR;107.63;2026-01-26
RJUMPLEMAN.FR;7999;ANNEMASSE;FR;50.81;2026-02-01
EL AL;3032;97239771111;LT;102.48;2026-01-25
TLLQBGLOBALFNC7B59;6051;TALLINN;EE;121.72;2025-12-10
SHELL 1211;5542;BONNEVILLE;FR;81.83;2025-09-26
TOP KUT TATA;5541;TATA;HU;128.89;2025-10-07
PHOTOMATON;7221;ECHIROLLES;FR;195.54;2026-02-28
JR EAST;5499;SIBUYAKU;JP;46.3;2025-12-10
LIDL SAGT DANKE;5411;HAMBURG;DE;56.64;2025-11-24
LIME*PAYOFF BVO4;7999;LI.ME;US;138.43;2025-10-29
BOLT.EU/O/2408230027;4121;TALLINN;EE;79.61;2026-03-21
SHELL OIL 10006151004;5542;LOS ANGELES;US;111.6;2026-01-02
OSETH;4111;54639;GR;61.7;2025-09-28
GMS -EVENT;5812;WIEN;AT;23.4;2026-01-19
LIME*RIDE LTLM;4789;BUCHAREST;RO;30.37;2026-03-12
GLOBUS VAM DEKUJE;5542;PRAHA 5;CZ;45.61;2026-02-04
GOPAY  *MUJKOBEREC.CZ;5712;PRAHA;CZ;82.94;2026-03-11
LIDL SAGT DANKE;5411;BRAUNSCHWEIG;DE;170.37;2025-12-21
T-MONEY PRIVATE TAXI (;4121;SEOUL;KR;60.33;2026-02-09
1686.8455.1946 AIB_ECO;7995;VALETTA;MT;59.19;2026-02-26
FOODORA_AT_EV8O-2511-B;5499;WIEN;AT;80.55;2026-03-14
625 - GO AER BC;5814;AEROPORT DEL;ES;50.08;2026-03-23
BACK YARD BISTRO RESTA;5811;ABU DHABI;AE;114.58;2025-11-28
FINNAIR - INFLI;5309;FINNAIR;FI;76.71;2025-11-03
4FD3F ENTERTAI;4899;DUBLIN 4;IE;130.38;2026-03-23
AVG *AGAP1578986216;5817;PRAGUE 4;CZ;19.59;2025-11-18
LIME*4 RITTEN;4789;WIEN;AT;119.04;2026-03-08
W M MORRISON STORE;5411;BREDBURY;GB;138.56;2025-12-25
LIME*KARNET IGDD;4789;48322247122;PL;67.49;2026-02-05
RESTOROUTE PIETERLEN;5812;PIETERLEN;CH;108.93;2026-01-10
PAYPAL *SPOTIFY*P3829D;5815;35314369001;SE;39.1;2025-12-01
DELIJN##HASH##;4111;DL GR5Z77UQ;BE;52.94;2026-02-10
TV NOVA 2173105077;4899;PRAHA 5;CZ;63.55;2025-12-08
J2HOL WEB WP;4722;2503150807258;GB;95.18;2025-12-13
MINIMARKET;5411;PRAHA 1;CZ;142.43;2025-11-15
UNION TAXI;4121;SHARJAH;AE;63.83;2025-11-01
DELIJN##HASH##;4111;DL 8XQIOCRQ;BE;134.71;2025-10-21
CARS TAXI SERVICES CO;4111;DUBAI;AE;109.54;2025-11-23
ZETTLE_*MC SIMS LIMITE;5812;CARDIFF;GB;197.57;2026-02-26
ALBERT VAM DEKUJE;5411;HULIN;CZ;165.09;2025-11-12
FOODORA_AT_XD0H-2537-W;5499;WIEN;AT;29.74;2026-02-20
DUMIRO SRO VR DUKLIA;5977;VRANOV NAD TO;SK;33.88;2025-10-28
WILLHABEN 1444610484;5331;VIENNA;AT;193.05;2026-02-07
PAYPAL *AIRBNB HMNRPPHXTA;7011;35314369001;GB;33.58;2025-11-05
GASTROBÜRO;7922;LEIPZIG;DE;6.51;2026-03-07
QIL27HGNU28W#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR;134.73;2025-11-18
BENU SK 38;5912;BRATISLAVA;SK;150.24;2026-02-19
CALLAO SALVAJE;5411;ADEJE CASCO;ES;137.73;2026-01-14
NYX*TECNOTRON;5499;SANTACRUZDETE;ES;190.92;2026-01-31
ACCENTE GASTRONOMIE SERVI;5812;FRANKFURT AM;DE;45.7;2026-03-04
BANDCAMPDARKSIDE;5815;BANDCAMP.CO;US;130.96;2026-02-15
LUNA BEACH CALHONDA;5812;MIJAS;ES;47.75;2025-12-07
PAYPAL *AIRBNB  HMBKZBF;7011;35314369001;GB;74.8;2025-09-28
PAYPAL *AIRBNB HMJF4MXQS;7011;4029357733;LU;125.97;2026-03-07
SUGI PHARMACY;5977;OSAKA;JP;15.77;2026-01-14
DESTINIA;4722;MADRID;ES;143.97;2026-03-15
X5455 ENTS;4899;DUBLIN 4;IE;180.68;2026-01-13
PAYPAL *EBAY CH;5331;0789372482;GB;140.31;2025-12-26
LUCIFER II. PIZZERIA;5812;VESZPREM;HU;23.19;2025-12-05
TCL 69 LYO;4111;V26030012235�;FR;134.79;2025-11-18
ICA FOCUS;5411;GOTEBORG;SE;146.16;2025-11-22
ETSY.COM*BOTANICAPRINTSHO;5399;LONDON;GB;189.84;2025-12-30
NS EINDHOVEN;4112;UTRECHT;NL;30.24;2026-02-18
O17624198574357675 APP BR;9311;TORINO;IT;22.32;2025-11-24
ALBERT VAM DEKUJE;5411;KROMERIZ;CZ;88.7;2026-03-07
PAYPAL *AIRBNB HMSNQK;7011;35314369001;LU;172.21;2026-01-27
HOTEL BAIRISCHER HOF;7011;MARKTREDWITZ;DE;199.03;2026-01-30
PROTV 5464454713;4899;BUCHAREST;RO;135.93;2025-12-16
HOFER HVALA;5411;MARIBOR;SI;76.1;2025-12-24
GOPAY $EMAKO.CZ;5399;HTTPS://EMAKO;CZ;153.64;2026-01-09
VOYO.SK 8637390103;4899;BRATISLAVA;SK;36.21;2026-02-04
SKYSHOWTIME F326B STAN;4899;AMSTERDAM;NL;77.26;2025-12-15
KOZLOVNA TYLAK;5812;PRAHA 2;CZ;84.51;2026-02-04
STAR TAXI;4121;LIBEREC;CZ;64.21;2025-12-18
ROSSMANN 03;5977;BIELSKO-BIALA;PL;141.25;2026-01-12
LIDL SAGT DANKE;5411;ALTOMUENSTER;DE;114.51;2026-01-11
AUSPOST ONLINE SHOP;5818;MELBOURNE;AU;149.87;2026-02-12
SAS O TOMAT;5814;NOISY LE ROI;FR;90.38;2025-11-15
QSV7MAVTL9SW#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR;53.19;2025-11-09
SHELL YPSONA;5542;LIMASSOL;CY;118.56;2025-11-20
ACS*23233384 THREE;4814;PLEASEHELP.IO;NL;191.73;2025-12-26
IOANA CHIS;6012;VISA DIRECT;LT;58.34;2025-11-28
LIME*PRZEJAZDY: 3 COD7;7999;SAN FRANCISCO;US;145.13;2026-02-13
PEPCO 220039 SENIGALLI;5310;SENIGALLIA;IT;147.66;2025-12-09
BILET ID:255V002625;4111;GDANSK;PL;172.96;2026-02-18
LIME*RIDE CTMO;4789;31858085186;NL;75.97;2026-02-12
SPORTHOTEL WAHLMULLER;7011;SATTLEDT;AT;144.56;2026-03-06
KOVACS ABC;5999;OKOLICNA NA O;SK;57.55;2025-12-18
KEBAB RUSH ORDER 644981 T;5812;COVENTRY;GB;45.84;2026-02-05
LESNY DOMEK;5814;SZCZECIN;PL;55.51;2025-12-31
ETSY.COM*LETSMAKENEON;5699;DUBLIN 1;IE;155.79;2026-02-28
SHELL 0296;5541;RUESSELSHEIM;DE;16.88;2025-11-06
MICROSOFT-G117413264;5045;MSBILL.INFO;IE;56.1;2025-09-28
NLOV##HASH##;4111;WWW.OVPAY.N;NL;136.19;2025-12-19
FOODORA_AT_BBDD-2521-4;5499;WIEN;AT;79.88;2025-12-17
UKVI6JAA0000008437725;9399;LONDON;GB;188.58;2025-11-02
FOODORA_AT_N31S-O5IY;5499;WIEN;AT;187.38;2025-12-28
ST.REGIS SAADIYAT F&B;5814;ABU DHABI;AE;57.66;2025-11-04
