merchant_description;mcc;city;country
AMAZON UK* ZC8V81J34;5399;LONDON;GB
LIDL CAPE 2391;5310;CAPPELLE LA G;FR
LIDL RO-381;5411;SNAGOV;RO
GASTRONOMIA PLAZOWA;5814;DZIWNOWEK;PL
6AB06 SKY CINE;4899;DUBLIN 4;IE
LIME*RIDE CS3K;4789;WARSZAWA;PL
HEINEMANN DUTY FREE/FIL.2;5309;SCHONEFELD;DE
EMPRESA MALAGUENA DE T;4111;MALAGA;ES
AVAST  *AVAP1650748675;5817;AVAST.COM/ORD;IE
SOCIAL DEAL 2 X DE VLI;7278;'S-HERTOGENBO;BE
ESCLATOIL REUS;5542;REUS;ES
TOOGOODT CSBGG3HYFBQF0;5812;COPENHAGEN;DK
T-PONT KORZO' U:ZLETH;4812;NYIREGYH.;HU
AMAZON UK* Z94IX9XV4;5399;LONDON;GB
METRO BARCELONA;4111;BARCELONA;ES
LIME*REAJUSTE SALDO I7;4789;BARCELONA;ES
CHANTAL BAR PTR SRL;5813;TIMISOARA;RO
OLAJBOGYÓ PIZZÉRIA;5812;ALGYO;HU
G7;4121;CLICHY;FR
SKYSHOWTIME 2D948 STANDAR;4899;AMSTERDAM;NL
SQSP* WORKSP#214977538;7372;SQUARESPACE.C;US
PAYPAL *LOVOO GMBH;7273;35314369001;DE
GOPAY *SVETBOT.CZ;5661;BRNO - BRNO-M;CZ
PENSION UBEDA;7011;FUENMAYOR;ES
LIME*PASS AAGP;4789;33974595221;FR
0LPB6IDIXQST;4111;TOULOUSE CEDE;FR
CAFEVIENNAAG;5814;NEW YORK;US
CARS TAXI SERVICES CO LLC;4121;DUBAI;AE
3OJ4XR6GXGWZ#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR
HE GREEN & RED PUB COM;5813;LONDON  NW1;GB
NOW C3C57 SKY CINE;5815;LONDON;GB
TV NOVA 8317220207;4899;PRAHA 5;CZ
NYX*COCACOLAHBCMAGYARO;5814;DUNAHARASZTI;HU
REEF FOR PERFUMES;5977;DOHA;QA
OCKOVACI CENTRUM;4119;BRECLAV;CZ
PK AEROPUERTO ALICANTE;7523;ALTET, EL;ES
RADEGASTOVNA PERON;5812;PRAHA;CZ
WIENER L 20260126008143;4111;WIEN;AT
85F0D ENTS;5815;DUBLIN 4;IE
TOTAL NL004017 BELVAL OUT;5541;BELVAUX;LU
MEWSSYSTEMS;7011;31851071333;NL
LIME*COST CURSA FG7S;4789;MILAN;IT
COSTA COFFEE 43011378;5814;CRAMLINGTON;GB
CALL DOCTOR HOME;8099;DUBAI;AE
FOODORA_AT_C6JU-2447-C;5499;WIEN;AT
IPO IPO;5944;CHALKIDA;GR
BANDCAMP UK BASS TUTOR;5815;BANDCAMP.CO;US
GOPAY  *MEDOVINARNA.CZ;5921;PRAHA;CZ
ES384553928;4829;MADRID;ES
TCL 69 LYO;4111;V25254001183�;FR
ABOUTYOU.DE;5651;HAMBURG;DE
VOJTILA TRANS SRO;4131;PROSTEJOV;CZ
KAUFLAND 8720, PD, NEDO;5411;PRIEVIDZA;SK
SKY VIEW LLC;6513;DUBAI;AE
GRUBHUBMCDONALDS;5812;8775851085;US
O17534257716280504 APP BR;9311;TORINO;IT
MOONEY SPA;4900;SANTO STEFANO;IT
LIME*PAYOFF HMUS;4789;FRANKFURT;DE
PROTV 9535939498;4899;BUCHAREST;RO
FLYERALARM;7338;CH240060658 F;CH
O17440045258934070 APP BR;9311;TORINO;IT
AMAZON GROCERY;5411;DUBAI;AE
ROULOTE DA PORTELA;5814;LISBOA;PT
FOODORA_AT_HTYR-2537-Z;5499;WIEN;AT
BIRD;5940;8662052442;CH
LIME*KRSEL H4SR;4789;HELLERUP;DK
WWW.AMAZON.* M64A82T45;5399;LUXEMBOURG;LU
BRANDS FOR LESS TRADIN;5691;RIYADH;SA
MEGAIMAGE 0637 BORH 8A;5411;CLUJ NAPOCA;RO
ALNATURA PRODUKTIONS U;5411;FILDERSTADT;DE
IKEA IRELAND LIMITED E;5712;DUBLIN;IE
FOODORA_AT_RPEV-2505-N;5499;WIEN;AT
METRO RJ;4111;RIO DE JANEIR;BR
CRV*GATE RETAIL WIZZ E;5309;CURVE.COM;IE
SAGOR ALIMENTACION;5411;BARCELONA;ES
XSOLLA /TWITCH;5816;SHERMAN OAKS;US
LIME*RIDE K6TK;7519;BULGARIA;BG
PKS GDYNIA 02;4131;WEJHEROWO;PL
O17618266529788708 APP BR;9311;TORINO;IT
TRUFFLES BAKERY;5462;WEST SUSSEX B;GB
GOPAY  $CEDCR.CZ;7375;CEDCR.CZ;CZ
RESTAURANT GENUSSTER;5812;AGGSBACH MARK;AT
JETSTAR AIRW0000000YQWSTK;3079;WWW.JETSTAR.C;AU
PALDISKI KONSUM;5499;HARJUMAA, PAL;EE
PAN ET GATO;5462;ANNECY LE VI;FR
TFL TRAVEL CH;4111;TFL.GOV.UK/CP;GB
EVENTIX B.V.;7922;3185225052;NL
LANDESBETRIEB VERKEHR;9399;IKFZ000100091;DE
BOOTS/0917,;5912;WEST THURRO;GB
LIME*RIDE O4CL;4789;ATHENS;GR
LIDL 727 OUDBEIJERLAND;5411;OUD-BEIJERLAN;NL
WILLHABEN 1253710144;5331;VIENNA;AT
FOODORA_AT_XEFN-2WY4;5499;WIEN;AT
HAPPYTIGER;7995;ID:1854661967;DK
MOONPAY*LEDGER 3765;6051;DUBILN;IE
GOPAY  *BAZAROVEREGALY.CZ;5251;BRNO;CZ
CFA SOC SW* CV DOCTORI;8699;41443824244;CH
SG*MEMORYOS.COM;8299;LEWES;US
APPLE STORE R454;5732;SICILY;IT
HAPPYTIGER;7995;ID:2877063858;DK
DEKAMARKT LOC46392;5411;AMSTERDAM;NL
ERNSTING'S FAMILY 0001;5651;FRIEDBERG;DE
PAYMENT SOLUTION & SERVIC;5812;STEFFISBURG;CH
KOZAK KFT. SZEKHELY;5921;KECSKEMET;HU
FOODORA_AT_Z3Z1-2527-K;5499;WIEN;AT
MRCR*DAVID*ELIS;6051;VISA DIRECT;HR
O17529055544027041 APP BR;9311;TORINO;IT
ZOTTER SCHOKOLADE;5441;RIEGERSBURG;AT
IC JICIN;5200;JICIN;CZ
URBAMUSA;7523;MURCIA ESP;ES
LIME*2 COURSES JDQK;4789;PARIS;FR
DROGERIA MAR KOS;5977;PLOCK;PL
TEDI FIL  6268;5651;DORTMUND;DE
IPSWICH TOWN FOOTBALL;7941;IPSWICH;GB
SPILNU;7995;ID:1940905313;DK
AUTOMATA TO:LTO'A'LLOM;5542;SARVAR;HU
SKULLTURE IBIZA;5947;SAN CARLOS;ES
LAWSON;5499;TOKYO;JP
WWW.AMAZON* 204-70608;5399;1  1401865794;GB
ASDA SUPERSTORE;5411;MERTHYR TYDFI;GB
PBZ8AROMAGLOBAL;5812;DUBROVNIK;HR
LIME*3 COURSES WFR4;4789;SAN FRANCISCO;US
AVM XOR8SEBF6IA1SLQ;4111;VENEZIA;IT
FOODORA_AT_GWU7-2435-H;5499;WIEN;AT
LIME*RIDE UMLC;7999;SAN FRANCISCO;US
UBER   *TRIP;4121;AMSTERDAM;NL
FOODORA_AT_OJHY-2510-ACGY;5499;WIEN;AT
FACEBK* 3KAF7ZF722;7311;MENLO PARK;US
ACS*23666122 THREE;4814;ROTTERDAM;NL
LISEBERG LH SP;7996;GOTEBORG;SE
MOL*ELBENWALD GMBH;5691;49355121010;DE
MERCADONA  FRANCISCO A;5411;ALZIRA;ES
FOODORA_AT_O2BI-2442-O;5499;WIEN;AT
COVA MONTENAPOLEONE SRL;5499;MILANO MI;IT
AIRBALTIC.COM;4511;V000015772;LV
WOOCOMM 9091791;5734;HTTPSWOOCOMME;US
9967150937;4899;BUCHAREST;RO
SVETITS KATOLIKUS;5811;DEBRECEN;HU
B M 518 - EDGELEY;5399;STOCKPORT;GB
HOLMESPLACE MILLENNIUM;7298;WIEN;AT
NOTEMACHINE;6011;MK9 1FG;GB
CESKA POSTA  51401;9402;JILEMNICE;CZ
LIME*PASS YIMN;4789;MILAN;IT
LIME*5 FAHRTEN GEKB;4789;PARIS;FR
GOPAY  *VITAMIN360.COM;5499;DUNAJSKA STRE;SK
BIOPIAC MARKET SZOCIAL;5734;UJSOLT;HU
LIME*RIDE LUDN;4789;PARIS;FR
FOODORA_AT_MV84-XPV6;5499;WIEN;AT
ALRABWA ALKHADRA;5422;AMMAN;JO
AMAZON UK* Z72EA1NL4;5399;LONDON;GB
O17491896377813462 APP BR;9311;TORINO;IT
SWISS H.TEL LA COURONN;7011;AVENCHES;CH
TV NOVA 9793557872;4899;PRAHA 5;CZ
LIME*4 RIDES BDEG;4789;WALLISELLEN;CH
SK SLOVAN BRATISLAVA,;5814;BRATISLAVA;SK
3CKET* 1423451 MC IG N;7399;LISBOA;PT
GOPAY *AMICI.CZ;5499;BRNO;CZ
ERGO REISEVERSICHERUNG AG;6300;VSNR183935930;DE
AGENDA BOOKSHOP;5942;VALLETTA      MLT;MT
MCDONALDS 01161;5814;WOLGAST;DE
O17634522164046369 APP BR;9311;TORINO;IT
ACS*23590242 THREE;4814;PLEASEHELP.IO;NL
PAYONEER.COM;7399;818240466;GB
WESTERHOF KAASSPECIA;5411;DELDEN;NL
TCL 69 LYO;4111;V25144003543�;FR
BOLT.EUD2509121740;5812;TALLINN;EE
GOPAY  *NEJOUTDOOR.CZ;5941;CHVALIKOVIC;CZ
DAT GRAC;7523;AIX EN PROVEN;FR
TCL 69 LYO;4111;V25154010147�;FR
GINO FOOD & BEVERAGE;5812;BRATISLAVA;SK
UBER *HAOLINCHEZA;5812;NEW TAIPEI;TW
LIME*PASS ACDA;4789;WARSZAWA;PL
BASTYA PRESSZO;5813;NYIREGYHAZA;HU
FUNKY MONKEYS CLAREHAL;7999;DUBLIN 17;IE
MINI JOKER;5499;CEGLED;HU
ETSY.COM*MINUKOART;5699;DUBLIN 1;IE
WM SUPERCENTER #3206;5411;LIMA;US
HEROKU* MAY-95580267;5734;WWW.HEROKU.CO;US
ASDA  ACCRINGTON;5411;ACCRINGTON;GB
DANTAXI 4X48;4121;VIRUM;DK
[02/04] TREKKINN;5941;CELRA;ES
RESTAURANT LA VACHE NO;5812;CRANS-MONTANA;CH
J D WETHERSPOON PLC;5812;WATFORD;GB
RIGATOS_SUPERMARKET_;5411;LIKSOYRI;GR
6080500723;4899;BUCHAREST;RO
WWWROHLIKCZ;5411;PRAHA 8 KARLI;CZ
LECHERTSHUBER;5411;BURGHAUSEN;DE
FOODORA_AT_CWLD-NM6X;5499;WIEN;AT
TV NOVA 0354799733;4899;PRAHA 5;CZ
TCL 69 LYO;4111;V25349021353�;FR
TUTTO BUONO;5814;MELLIEHA;MT
365;5813;BARCELONA;ES
BANDCAMPKAIQ;5815;4152132160;US
MARIACASINO;7995;2481523045;MT
TRANSAVIA   FIN22E;3007;PARAY VIEILLE;FR
EUROPA PARK GMBH U CO;5812;RUST;DE
CLEERES BAR & THEATRE;7922;KILKENNY;IE
SKYSHOWTIME D0012 STANDAR;4899;AMSTERDAM;NL
BOULANGERIE AMIS;5462;TALENCE;FR
RJUMPLEMAN.FR;7999;ANNEMASSE;FR
EL AL;3032;97239771111;LT
TLLQBGLOBALFNC7B59;6051;TALLINN;EE
SHELL 1211;5542;BONNEVILLE;FR
TOP KUT TATA;5541;TATA;HU
PHOTOMATON;7221;ECHIROLLES;FR
JR EAST;5499;SIBUYAKU;JP
LIDL SAGT DANKE;5411;HAMBURG;DE
LIME*PAYOFF BVO4;7999;LI.ME;US
BOLT.EU/O/2408230027;4121;TALLINN;EE
SHELL OIL 10006151004;5542;LOS ANGELES;US
OSETH;4111;54639;GR
GMS -EVENT;5812;WIEN;AT
LIME*RIDE LTLM;4789;BUCHAREST;RO
GLOBUS VAM DEKUJE;5542;PRAHA 5;CZ
GOPAY  *MUJKOBEREC.CZ;5712;PRAHA;CZ
LIDL SAGT DANKE;5411;BRAUNSCHWEIG;DE
T-MONEY PRIVATE TAXI (;4121;SEOUL;KR
1686.8455.1946 AIB_ECO;7995;VALETTA;MT
FOODORA_AT_EV8O-2511-B;5499;WIEN;AT
625 - GO AER BC;5814;AEROPORT DEL;ES
BACK YARD BISTRO RESTA;5811;ABU DHABI;AE
FINNAIR - INFLI;5309;FINNAIR;FI
4FD3F ENTERTAI;4899;DUBLIN 4;IE
AVG *AGAP1578986216;5817;PRAGUE 4;CZ
LIME*4 RITTEN;4789;WIEN;AT
W M MORRISON STORE;5411;BREDBURY;GB
LIME*KARNET IGDD;4789;48322247122;PL
RESTOROUTE PIETERLEN;5812;PIETERLEN;CH
PAYPAL *SPOTIFY*P3829D;5815;35314369001;SE
DELIJN##HASH##;4111;DL GR5Z77UQ;BE
TV NOVA 2173105077;4899;PRAHA 5;CZ
J2HOL WEB WP;4722;2503150807258;GB
MINIMARKET;5411;PRAHA 1;CZ
UNION TAXI;4121;SHARJAH;AE
DELIJN##HASH##;4111;DL 8XQIOCRQ;BE
CARS TAXI SERVICES CO;4111;DUBAI;AE
ZETTLE_*MC SIMS LIMITE;5812;CARDIFF;GB
ALBERT VAM DEKUJE;5411;HULIN;CZ
FOODORA_AT_XD0H-2537-W;5499;WIEN;AT
DUMIRO SRO VR DUKLIA;5977;VRANOV NAD TO;SK
WILLHABEN 1444610484;5331;VIENNA;AT
PAYPAL *AIRBNB HMNRPPHXTA;7011;35314369001;GB
GASTROBÜRO;7922;LEIPZIG;DE
QIL27HGNU28W#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR
BENU SK 38;5912;BRATISLAVA;SK
CALLAO SALVAJE;5411;ADEJE CASCO;ES
NYX*TECNOTRON;5499;SANTACRUZDETE;ES
ACCENTE GASTRONOMIE SERVI;5812;FRANKFURT AM;DE
BANDCAMPDARKSIDE;5815;BANDCAMP.CO;US
LUNA BEACH CALHONDA;5812;MIJAS;ES
PAYPAL *AIRBNB  HMBKZBF;7011;35314369001;GB
PAYPAL *AIRBNB HMJF4MXQS;7011;4029357733;LU
SUGI PHARMACY;5977;OSAKA;JP
DESTINIA;4722;MADRID;ES
X5455 ENTS;4899;DUBLIN 4;IE
PAYPAL *EBAY CH;5331;0789372482;GB
LUCIFER II. PIZZERIA;5812;VESZPREM;HU
TCL 69 LYO;4111;V26030012235�;FR
ICA FOCUS;5411;GOTEBORG;SE
ETSY.COM*BOTANICAPRINTSHO;5399;LONDON;GB
NS EINDHOVEN;4112;UTRECHT;NL
O17624198574357675 APP BR;9311;TORINO;IT
ALBERT VAM DEKUJE;5411;KROMERIZ;CZ
PAYPAL *AIRBNB HMSNQK;7011;35314369001;LU
HOTEL BAIRISCHER HOF;7011;MARKTREDWITZ;DE
PROTV 5464454713;4899;BUCHAREST;RO
HOFER HVALA;5411;MARIBOR;SI
GOPAY $EMAKO.CZ;5399;HTTPS://EMAKO;CZ
VOYO.SK 8637390103;4899;BRATISLAVA;SK
SKYSHOWTIME F326B STAN;4899;AMSTERDAM;NL
KOZLOVNA TYLAK;5812;PRAHA 2;CZ
STAR TAXI;4121;LIBEREC;CZ
ROSSMANN 03;5977;BIELSKO-BIALA;PL
LIDL SAGT DANKE;5411;ALTOMUENSTER;DE
AUSPOST ONLINE SHOP;5818;MELBOURNE;AU
SAS O TOMAT;5814;NOISY LE ROI;FR
QSV7MAVTL9SW#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR
SHELL YPSONA;5542;LIMASSOL;CY
ACS*23233384 THREE;4814;PLEASEHELP.IO;NL
IOANA CHIS;6012;VISA DIRECT;LT
LIME*PRZEJAZDY: 3 COD7;7999;SAN FRANCISCO;US
PEPCO 220039 SENIGALLI;5310;SENIGALLIA;IT
BILET ID:255V002625;4111;GDANSK;PL
LIME*RIDE CTMO;4789;31858085186;NL
SPORTHOTEL WAHLMULLER;7011;SATTLEDT;AT
KOVACS ABC;5999;OKOLICNA NA O;SK
KEBAB RUSH ORDER 644981 T;5812;COVENTRY;GB
LESNY DOMEK;5814;SZCZECIN;PL
ETSY.COM*LETSMAKENEON;5699;DUBLIN 1;IE
SHELL 0296;5541;RUESSELSHEIM;DE
MICROSOFT-G117413264;5045;MSBILL.INFO;IE
NLOV##HASH##;4111;WWW.OVPAY.N;NL
FOODORA_AT_BBDD-2521-4;5499;WIEN;AT
UKVI6JAA0000008437725;9399;LONDON;GB
FOODORA_AT_N31S-O5IY;5499;WIEN;AT
ST.REGIS SAADIYAT F&B;5814;ABU DHABI;AE
O17394343218928069 APP BR;9311;TORINO;IT
GOPAY *RIEKER-ESHOP.CZ;5661;HTTPS://RIEKE;CZ
GYOGYSZERTAR;5912;KARCAG;HU
TWEETDELETE.NET;5734;19177250247;US
AMAZON UK* ZP71S5Y94;5399;LONDON;GB
BOLT.EU/O/2512271730;4121;AUCKLAND;NZ
32ROSU;7995;2668009404;MT
LIME*COST CURSA IXPO;4789;BUCHAREST;RO
RAMSTOR MAKEDONIJA;5310;SKOPJE;MK
CANVA* PAAAAG3D33ZZ5CD;5734;SURRY HILLS;AU
SUPER PLAYA DE MURO;5411;PLATJA DE MUR;ES
WOW 72F46 PREMIUM;4899;UNTERFOEHRING;DE
JFK INTERNATIONAL AIRP;7394;JAMAICA;US
KULM HOTEL ST. MORITZ;5812;ST. MORITZ;CH
TGO *ITSOKA;4829;VILINIUS;LT
CHAMPAGNERIA;5813;PRAHA 1;CZ
R2OEF1VEECJS#TISSEO.FR;4111;TOULOUSE CEDE;FR
TCL 69 LYO;4111;V26004011466�;FR
BRITISH A   ##HASH##;3005;WWW.BRITISHAI;GB
NYX*ALOISDALLMAYRAUTOM;5814;BUDAPEST;HU
ALBERT HEIJN 1075;5411;ALKMAAR;NL
TFL TRAVEL CH;4111;TFL.GOV.UK/CP;GB
DE AGOSTINI;5815;NOVARA;IT
IDSJMK.CZ*##HASH##;4111;BRNO;CZ
IKEA RETAIL SP. Z O. 01;5812;KATOWICE;PL
LIDL 3347;5411;PIRNA;DE
BOLT.EU/O/2512131539;4121;TALLINN;EE
IL VELIERO BAR AND RES;5813;ROMA;IT
USCUSTOMS ESTA APPL PMT;9399;317-715-6776;US
TEGUT FILIALE 2574;5411;HALLSTADT;DE
MPY*OQTAGON, ORDER 460;5941;CLUJ;RO
CANVA* I04677-58873010;7333;CAMDEN USA;US
CLAIRE'S ACCESSORIES;5631;DUBLIN EIRE;IE
MONO*MARIIA FIRONOVA;4829;KYIV;UA
DE HEEREN VAN AEMSTEL;5812;AMSTERDAM;NL
FLYERALARM GMBH;7338;DE252689239 F;DE
GOPAY  *WEDOS.COM;4816;HLUBOKA NAD;CZ
TV NOVA 6654102928;4899;PRAHA 5;CZ
GLOSSYBOX.COM;5999;855-738-1140;US
SZIGET FESZTIVA'L - KE;7999;BUDAPEST;HU
TAKASHIMAYA;5311;TOKYOTO CHUOK;JP
TAKSI YONETIM;5045;ISTANBUL;TR
MICROSOFT-G079054910;5045;MSBILL.INFO;US
TV NOVA 8997773118;4899;PRAHA 5;CZ
CYBGEU;5816;LONDON;GB
ARRIVA PERSONENVERVOER;4111;HEERENVEEN;NL
GOOGLE *GOOGLE ONE;5818;MOUNTAIN VI;US
CEDBA SKY CINE;4899;DUBLIN 4;IE
FOODORA_AT_QYKL-2512-L;5499;WIEN;AT
DANTAXI;4121;BAGSVAERD;DK
USCUSTOMS ESTA APPL PMT;9399;317-715-6776;US
EP*SAVETHEHORSES-SHOP.;8398;. BUCURESTI;RO
O17641565432578031 APP BR;9311;TORINO;IT
NOW 50A1B HAYU;5815;LONDON;GB
TURKISH KEBAB;5814;X;RO
AIR CHINA;4511;UNITED STATE;CH
OKAY SRO;5732;BRUNTAL;CZ
AUTOBUSY;4111;KRALUV DVUR;CZ
KAUFLAND VIERSEN 1370;5411;VIERSEN DUE;DE
MEDIA MARKT TV-HIFI-EL;5732;BERLIN;DE
NOTEBOOKSBILLIGER.DE A;5732;A SARSTEDT;DE
FOODORA_AT_BE8F-2514-Q;5499;WIEN;AT
HYPEDROP;7994;8390778;CY
NOW 0B6A9 BOOST;4899;LONDON;GB
NEURONUK* TEMPHOLD-6E;4789;LONDON;GB
FOODORA_AT_XBEW-5UO9;5499;WIEN;AT
SPC*SCHNITZERY POTSDAM;5812;BERLIN;DE
HOTMART STEFANOGRADI;8299;AMSTERDAM;NL
HOTMART ENEB.COM-RE-ENROL;8299;AMSTERDAM;NL
PIGEON EXPRESSO BAR;5812;MONTREAL;CA
YOTEL EDINBURGH;7011;EDINBURGH;GB
FOODORA_AT_L05T-2514-K;5499;WIEN;AT
GOPAY *NAMCHESHOP.CZ;5941;PRAHA;CZ
DB VERTRIEB GMBH;4112;399923701918;DE
BOOKING.COM;4722;AMSTERDAM;NL
FOODORA_AT_O98H-2533-9;5499;WIEN;AT
GOPAY  *FENCEE.CZ;5200;FENCEE.CZ;CZ
FOODORA_AT_OK28-2511-Q;5499;WIEN;AT
ARAL STATION 130467137;5541;HAMBURG;DE
PREMIER PASTURE ROAD;5411;NOTTINGHAM;GB
AVAST *AVAP1633210132;5817;PRAGUE 4;CZ
TCHIBO PARTNER 6734;5399;BERLIN;DE
BANDCAMPDIMENSION303;5815;BANDCAMP.CO;US
AVIWELL/SCANNERO.ORG;7372;LIMASSOL;CY
WOW 1C92F LIVE-SPO;5815;UNTERFOEHRING;DE
PROFI 3208 C3;5411;CRAIOVA;RO
COOP-1989 LUGANO S;5411;GRANCIA;CH
CASARINA VILLAGE PAYBYLIN;5411;BONIFACIO;FR
32RED;7995;2581061604;GB
GOPAY  *BOMAMILEVSKO.CZ;5200;HTTPS://ESHOP;CZ
TOUTOULIS SPYRIDON;5994;ATHINA;GR
MCD HENGER;5812;BUDAPEST;HU
FOODORA_AT_FHIF-F8ZB;5499;WIEN;AT
LA METROPOLE MOB;4111;TWR66XNIM6R4�;FR
LE FONTE;5631;ATHINAION;GR
GOPAY  *ENBOOK.CZ;5942;ENBOOK.CZ;CZ
LIME*2 VIAJES FCR3;7519;CZECH REPUBLI;CZ
GOPAY *TRICKOVY.CZ;5651;WODZISLAW SLA;PL
ESPRESSO LOUNGE;5812;BERLIN;DE
TIFFANY PRAGUE;5944;PRAGUE;CZ
LIDL 381 ARNHEM;5411;ARNHEM;NL
FOODORA_AT_MAZP-2537-H;5499;WIEN;AT
ACS*20677459 THREE;4814;0107989541;NL
SKYSHOWTIME 5158A STAN;4899;AMSTERDAM;NL
SUBRALOTT T1;5812;MUNCHEN-FLUGH;DE
ZABKA Z3002 K.1;5499;BUSKO-ZDROJ;PL
EP*PICTORULFERICIT.RO;5970;BUCURESTI;RO
CFF MARTIGNY WC;4789;MARTIGNY;CH
EUROPAKETSHOP.CH;7299;WALDSHUT-TIEN;DE
XLCZ NABYTEK SRO BRN;5712;BRNO MODRICE;CZ
HEAVEN IN STYLE;7997;BUDAPEST;HU
AMAZON UK* 4D4X976Y5;5399;LONDON;GB
AVM GYMRRC2PN65BMKY;4111;VENEZIA;IT
GDE PHIE DE PARI;5912;LILLE;FR
AVG *AGAP1580110046;5817;PRAGUE 4;CZ
PAYPAL *EMINZA;5719;35314369001;FR
AIR SERBI##HASH##;4511;SOFIA;BG
3951.0741.3809 AIB_ECO;7995;VALETTA;MT
AMAZON UK* V722K1DE5;5399;LONDON;GB
BO MIE;5462;PARIS 1;FR
THE HOUSE RESTAURANT;5812;CHIANGMAI;TH
WOW 92FA5 ENTERTAI;5815;UNTERFOEHRING;DE
CLUB ROSSIGNOL;5812;POIANA BRASOV;RO
GOPAY  $GAP.SK;5651;HTTPS://GAP.S;CZ
C & A MODE BREMGARTEN / 7;5651;BREMGARTEN AG;CH
FOODORA_AT_GQPJ-2528-WI3T;5499;WIEN;AT
OTPMOBL*TICKETS.FUNC;7922;BUDAPEST;HU
PAYPAL *AIRBNB  HMZZYR4YC;7011;35314369001;LU
KAPOSVA'R, AUT-A'LL;4131;KAPOSVAR;HU
PAYPAL *MINIMEAL;5499;06641845881;AT
COFF.EE* PORTNIKOV;5815;14154494266;US
I PAZZI;5814;GDANSK;PL
DOG AND PARROT;5813;NEWCASTLE UPO;GB
LIME*RIDE Q5CS;4789;WIEN;AT
SUMUP  *FRUTTA E VERDU;5411;CAROVIGNO;IT
GOPAY  *GATE.SHOP;5651;RUZOMBEROK;SK
NYA*BDA DISTRIBUTION;5499;PARIS;FR
