merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,manually_curated
D11E1 ENTS,ents,5815,DUBLIN 4,IE,142.25,8/11/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
PUBLIX #1006 000001006,publix,5411,PALM BCH GDNS,US,188.21,5/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
ENTRYTICKETS LTD.,entrytickets ltd,7922,KOMARNO,SK,13.28,28/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Theatrical Producers,0.95,rule_based,mcc_rule,no
DEEZEREUROPE 7UIV,deezereurope,5815,PARIS,FR,120.67,8/10/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
MOONPAY*METAMASK 6576,moonpay metamask,6051,MOONPAY.COM,IE,146.51,18/11/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule,no
ADNOC AL RAEFA 787,adnoc raefa,5541,UMMALQUWAI,AE,32.35,14/2/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
CMT UK LTD TAXI FARE,cmt ltd taxi fare,4121,LONDON,GB,149.47,14/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
LIME*RIDE D2TL,lime ride,7519,BULGARIA,BG,80.11,19/12/2025,fuel & automotive,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,yes
NOW 4F3A2 ENTERTAI,now entertai,5815,LONDON,GB,114.05,30/10/2025,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
WPML-ATE,wpml ate,5734,WANCHAI,HK,41.09,21/2/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
MICROSOFT-G126347829,microsoft,5045,MSBILL.INFO,CH,184.45,15/10/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",Computers & Software,0.0,rule_based,,no
A.S. TELHEIRAS,telheiras,5541,LISBOA,PT,31.37,31/1/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
87676451 ZINZINO,zinzino,5499,VAESTRA FROEL,SE,81.76,20/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
TOOGOODT T6B3YWZX3B4G0,toogoodt,5812,TOOGOODTOGO.E,DK,52.24,14/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
SUPERPROF * PACK BOUALE,superprof pack bouale,7333,PARIS - FRANC,FR,80.01,6/11/2025,,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,no
FAST FOOD ZRCE,fast food zrce,5812,NOVALJA,HR,32.8,23/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
SEM MOBILITE�CUM,sem mobilite cum,4111,CGEZPQ6NADHP�,FR,148.19,7/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
WAYLET,waylet,5983,MADRID,ES,85.24,14/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
GOOGLE *GOOGLE STORAGE,google storage,7372,G.CO/HELPPAY#,IE,80.73,29/11/2025,professional services,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,yes
TOOGOODT EY2EK691E26T0,toogoodt,5812,TOOGOODTOGO.C,DK,183.75,12/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
TV NOVA 2425961972,nova,4899,PRAHA 5,CZ,62.76,12/1/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
NEXT BAR,next bar,5812,BUDAPEST,HU,43.5,20/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
BOOKS ON THE GREEN,books the green,5942,DUBLIN 4,IE,149.98,15/11/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,,no
BOLT.EUD2509091050,bolt,5812,TALLINN,EE,168.91,9/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
MICROSOFT-G120073725,microsoft,5045,MSBILL.INFO,CH,121.84,11/3/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",Computers & Software,0.0,rule_based,,no
KITH PARIS,kith paris,5651,PARIS,FR,47.71,2/12/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
SKOLNI BUFIK,skolni bufik,5814,PRAHA,CZ,95.36,24/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
AIRBNB * HM5PBMJFBY,airbnb,4722,372-088-3800,LU,75.25,20/1/2026,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
FOODORA_CZ_SUB-34NLLOQ,foodora sub,5499,PRAGUE 8,CZ,69.53,5/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
ACS*22278051 THREE,acs three,4814,ROTTERDAM,NL,123.16,14/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule,no
VOYO.SK 2196984720,voyo,4899,BRATISLAVA,SK,61.3,12/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
HEGNAUER MARKT,hegnauer markt,5411,HEGNAU,CH,176.51,16/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
OTOS CSEMEGE,otos csemege,5411,EGER,HU,50.54,23/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
AMAZON UK* ZC8V81J34,amazon,5399,LONDON,GB,159.42,6/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
LIDL CAPE 2391,lidl cape,5310,CAPPELLE LA G,FR,170.23,21/11/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",Discount Stores,0.0,rule_based,,no
LIDL RO-381,lidl,5411,SNAGOV,RO,146.98,17/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
GASTRONOMIA PLAZOWA,gastronomia plazowa,5814,DZIWNOWEK,PL,45.18,7/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
6AB06 SKY CINE,sky cine,4899,DUBLIN 4,IE,70.46,9/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
LIME*RIDE CS3K,lime ride,4789,WARSZAWA,PL,39.16,28/1/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
HEINEMANN DUTY FREE/FIL.2,heinemann duty free fil,5309,SCHONEFELD,DE,118.75,12/1/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,,no
EMPRESA MALAGUENA DE T,empresa malaguena,4111,MALAGA,ES,64.96,28/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
AVAST  *AVAP1650748675,avast,5817,AVAST.COM/ORD,IE,41.04,13/10/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
SOCIAL DEAL 2 X DE VLI,social deal vli,7278,'S-HERTOGENBO,BE,45.9,27/12/2025,,,personal services,"Hotels, laundry, beauty services, personal care",,0.0,rule_based,,no
ESCLATOIL REUS,esclatoil reus,5542,REUS,ES,85.0,27/9/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Automated Fuel Dispensers,0.95,rule_based,mcc_rule,no
TOOGOODT CSBGG3HYFBQF0,toogoodt,5812,COPENHAGEN,DK,82.03,22/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
T-PONT KORZO' U:ZLETH,pont korzo zleth,4812,NYIREGYH.,HU,34.63,14/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecom Equipment,0.95,rule_based,mcc_rule,no
AMAZON UK* Z94IX9XV4,amazon,5399,LONDON,GB,163.15,8/1/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
METRO BARCELONA,metro barcelona,4111,BARCELONA,ES,169.59,2/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
LIME*REAJUSTE SALDO I7,lime reajuste saldo,4789,BARCELONA,ES,58.34,11/11/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
CHANTAL BAR PTR SRL,chantal bar ptr srl,5813,TIMISOARA,RO,35.65,13/2/2026,bars & alcohol,Bars,restaurants,"Restaurants, bars, fast food",Bars / Taverns,0.95,rule_based,mcc_rule,no
OLAJBOGYÓ PIZZÉRIA,olajbogy pizz ria,5812,ALGYO,HU,84.21,6/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
G7,,4121,CLICHY,FR,137.98,2/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
SKYSHOWTIME 2D948 STANDAR,skyshowtime standar,4899,AMSTERDAM,NL,81.52,30/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
SQSP* WORKSP#214977538,sqsp worksp,7372,SQUARESPACE.C,US,86.12,19/10/2025,,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,no
PAYPAL *LOVOO GMBH,paypal lovoo gmbh,7273,35314369001,DE,114.91,25/11/2025,,,personal services,"Hotels, laundry, beauty services, personal care",,0.0,rule_based,,no
GOPAY *SVETBOT.CZ,gopay svetbot,5661,BRNO - BRNO-M,CZ,103.87,21/3/2026,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Shoe Stores,0.95,rule_based,mcc_rule,no
PENSION UBEDA,pension ubeda,7011,FUENMAYOR,ES,98.92,18/2/2026,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
LIME*PASS AAGP,lime pass aagp,4789,33974595221,FR,186.65,6/1/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
0LPB6IDIXQST,,4111,TOULOUSE CEDE,FR,38.97,8/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
CAFEVIENNAAG,cafeviennaag,5814,NEW YORK,US,157.0,19/11/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
CARS TAXI SERVICES CO LLC,cars taxi services llc,4121,DUBAI,AE,17.26,31/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
3OJ4XR6GXGWZ#TISSEO.FR#VC,tisseo,4111,TOULOUSE CEDE,FR,49.23,15/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
HE GREEN & RED PUB COM,green red pub,5813,LONDON  NW1,GB,81.86,13/11/2025,bars & alcohol,Bars,restaurants,"Restaurants, bars, fast food",Bars / Taverns,0.95,rule_based,mcc_rule,no
NOW C3C57 SKY CINE,now sky cine,5815,LONDON,GB,63.2,14/1/2026,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
TV NOVA 8317220207,nova,4899,PRAHA 5,CZ,98.94,29/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
NYX*COCACOLAHBCMAGYARO,nyx cocacolahbcmagyaro,5814,DUNAHARASZTI,HU,113.03,13/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
REEF FOR PERFUMES,reef for perfumes,5977,DOHA,QA,120.55,18/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Cosmetic Stores,0.0,rule_based,,no
OCKOVACI CENTRUM,ockovaci centrum,4119,BRECLAV,CZ,83.46,2/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
PK AEROPUERTO ALICANTE,aeropuerto alicante,7523,"ALTET, EL",ES,83.38,7/3/2026,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
RADEGASTOVNA PERON,radegastovna peron,5812,PRAHA,CZ,129.3,26/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
WIENER L 20260126008143,wiener,4111,WIEN,AT,191.56,21/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
85F0D ENTS,ents,5815,DUBLIN 4,IE,18.43,3/12/2025,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
TOTAL NL004017 BELVAL OUT,total belval out,5541,BELVAUX,LU,66.82,18/2/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
MEWSSYSTEMS,mewssystems,7011,31851071333,NL,15.33,8/11/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
LIME*COST CURSA FG7S,lime cost cursa,4789,MILAN,IT,141.86,9/2/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
COSTA COFFEE 43011378,costa coffee,5814,CRAMLINGTON,GB,25.4,26/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
CALL DOCTOR HOME,call doctor home,8099,DUBAI,AE,111.9,20/1/2026,health & pharmacy,Medical and health services,healthcare,"Doctors, dentists, hospitals",,0.95,rule_based,mcc_rule,no
FOODORA_AT_C6JU-2447-C,foodora,5499,WIEN,AT,144.67,22/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
IPO IPO,ipo,5944,CHALKIDA,GR,14.85,15/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Jewelry Stores,0.0,rule_based,,no
BANDCAMP UK BASS TUTOR,bandcamp bass tutor,5815,BANDCAMP.CO,US,9.63,27/11/2025,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
GOPAY  *MEDOVINARNA.CZ,gopay medovinarna,5921,PRAHA,CZ,34.34,10/2/2026,bars & alcohol,Liquor stores,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Liquor Stores,0.95,rule_based,mcc_rule,no
ES384553928,,4829,MADRID,ES,105.41,11/3/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule,no
TCL 69 LYO,tcl lyo,4111,V25254001183�,FR,64.91,1/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
ABOUTYOU.DE,aboutyou,5651,HAMBURG,DE,171.76,17/3/2026,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
VOJTILA TRANS SRO,vojtila trans sro,4131,PROSTEJOV,CZ,109.43,19/3/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Bus Lines,0.0,rule_based,,no
"KAUFLAND 8720, PD, NEDO",kaufland nedo,5411,PRIEVIDZA,SK,186.84,6/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
SKY VIEW LLC,sky view llc,6513,DUBAI,AE,183.48,7/1/2026,,,real estate & payments,"Real estate managers, payment services",Real Estate Agents,0.0,rule_based,,no
GRUBHUBMCDONALDS,grubhubmcdonalds,5812,8775851085,US,160.56,25/9/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
O17534257716280504 APP BR,,9311,TORINO,IT,78.11,26/9/2025,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
MOONEY SPA,mooney spa,4900,SANTO STEFANO,IT,26.04,13/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities","Utilities (Electric, Gas, Water)",0.95,rule_based,mcc_rule,no
LIME*PAYOFF HMUS,lime payoff hmus,4789,FRANKFURT,DE,125.31,26/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
PROTV 9535939498,protv,4899,BUCHAREST,RO,58.65,15/3/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
FLYERALARM,flyeralarm,7338,CH240060658 F,CH,93.87,4/3/2026,professional services,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,yes
O17440045258934070 APP BR,,9311,TORINO,IT,139.28,6/1/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
AMAZON GROCERY,amazon grocery,5411,DUBAI,AE,14.91,14/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
